"title","release_year","rental_rate"
"Stepmom Dream",2006,4.99
"Sting Personal",2006,4.99
"Stock Glass",2006,2.99
"Stone Fire",2006,0.99
"Storm Happiness",2006,0.99
"Story Side",2006,0.99
"Straight Hours",2006,0.99
"Strangelove Desire",2006,0.99
"Stranger Strangers",2006,4.99
"Strangers Graffiti",2006,4.99
"Streak Ridgemont",2006,0.99
"Streetcar Intentions",2006,4.99
"Strictly Scarface",2006,2.99
"Submarine Bed",2006,4.99
"Sugar Wonka",2006,4.99
"Suicides Silence",2006,4.99
"Suit Walls",2006,4.99
"Summer Scarface",2006,0.99
"Sun Confessions",2006,0.99
"Sundance Invasion",2006,0.99
"Sunrise League",2006,4.99
"Sunset Racer",2006,0.99
"Super Wyoming",2006,4.99
"Superfly Trip",2006,0.99
"Suspects Quills",2006,2.99
"Swarm Gold",2006,0.99
"Sweden Shining",2006,4.99
"Sweet Brotherhood",2006,2.99
"Sweethearts Suspects",2006,0.99
"Tadpole Park",2006,2.99
"Talented Homicide",2006,0.99
"Tarzan Videotape",2006,2.99
"Taxi Kick",2006,0.99
"Teen Apollo",2006,4.99
"Telegraph Voyage",2006,4.99
"Telemark Heartbreakers",2006,2.99
"Temple Attraction",2006,4.99
"Tenenbaums Command",2006,0.99
"Tequila Past",2006,4.99
"Terminator Club",2006,4.99
"Texas Watch",2006,0.99
"Theory Mermaid",2006,0.99
"Thief Pelican",2006,4.99
"Thin Sagebrush",2006,4.99
"Ties Hunger",2006,4.99
"Tights Dawn",2006,0.99
"Timberland Sky",2006,0.99
"Titanic Boondock",2006,4.99
"Titans Jerk",2006,4.99
"Tomatoes Hellfighters",2006,0.99
"Tomorrow Hustler",2006,2.99
"Tootsie Pilot",2006,0.99
"Torque Bound",2006,4.99
"Tourist Pelican",2006,4.99
"Towers Hurricane",2006,0.99
"Town Ark",2006,2.99
"Tracy Cider",2006,0.99
"Trading Pinocchio",2006,4.99
"Traffic Hobbit",2006,4.99
"Train Bunch",2006,4.99
"Trainspotting Strangers",2006,4.99
"Tramp Others",2006,0.99
"Translation Summer",2006,0.99
"Trap Guys",2006,4.99
"Treasure Command",2006,0.99
"Treatment Jekyll",2006,0.99
"Trip Newton",2006,4.99
"Trojan Tomorrow",2006,2.99
"Troopers Metal",2006,0.99
"Trouble Date",2006,2.99
"Truman Crazy",2006,4.99
"Turn Star",2006,2.99
"Tuxedo Mile",2006,2.99
"Twisted Pirates",2006,4.99
"Tycoon Gathering",2006,4.99
"Unbreakable Karate",2006,0.99
"Uncut Suicides",2006,2.99
"Undefeated Dalmations",2006,4.99
"Unfaithful Kill",2006,2.99
"Unforgiven Zoolander",2006,0.99
"United Pilot",2006,0.99
"Untouchables Sunrise",2006,2.99
"Uprising Uptown",2006,2.99
"Uptown Young",2006,2.99
"Usual Untouchables",2006,4.99
"Vacation Boondock",2006,2.99
"Valentine Vanishing",2006,0.99
"Valley Packer",2006,0.99
"Vampire Whale",2006,4.99
"Vanilla Day",2006,4.99
"Vanished Garden",2006,0.99
"Vanishing Rocky",2006,2.99
"Varsity Trip",2006,2.99
"Velvet Terminator",2006,4.99
"Vertigo Northwest",2006,2.99
"Victory Academy",2006,0.99
"Videotape Arsenic",2006,4.99
"Vietnam Smoochy",2006,0.99
"Villain Desperate",2006,4.99
"Virgin Daisy",2006,4.99
"Virginian Pluto",2006,0.99
"Virtual Spoilers",2006,4.99
"Vision Torque",2006,0.99
"Voice Peach",2006,0.99
"Volcano Texas",2006,0.99
"Volume House",2006,4.99
"Voyage Legally",2006,0.99
"Wagon Jaws",2006,2.99
"Wait Cider",2006,0.99
"Wake Jaws",2006,4.99
"Walls Artist",2006,4.99
"Wanda Chamber",2006,4.99
"War Notting",2006,4.99
"Wardrobe Phantom",2006,2.99
"Warlock Werewolf",2006,2.99
"Wars Pluto",2006,2.99
"Wash Heavenly",2006,4.99
"Wasteland Divine",2006,2.99
"Watch Tracy",2006,0.99
"Waterfront Deliverance",2006,4.99
"Watership Frontier",2006,0.99
"Wedding Apollo",2006,0.99
"Weekend Personal",2006,2.99
"Werewolf Lola",2006,4.99
"West Lion",2006,4.99
"Westward Seabiscuit",2006,0.99
"Whale Bikini",2006,4.99
"Whisperer Giant",2006,4.99
"Wife Turn",2006,4.99
"Wild Apollo",2006,0.99
"Willow Tracy",2006,2.99
"Wind Phantom",2006,0.99
"Window Side",2006,2.99
"Wisdom Worker",2006,0.99
"Witches Panic",2006,4.99
"Wizard Coldblooded",2006,4.99
"Wolves Desire",2006,0.99
"Women Dorado",2006,0.99
"Won Dares",2006,2.99
"Wonderful Drop",2006,2.99
"Wonderland Christmas",2006,4.99
"Wonka Sea",2006,2.99
"Words Hunter",2006,2.99
"Worker Tarzan",2006,2.99
"Working Microcosmos",2006,4.99
"World Leathernecks",2006,0.99
"Worst Banger",2006,2.99
"Wrath Mile",2006,0.99
"Wrong Behavior",2006,2.99
"Wyoming Storm",2006,4.99
"Yentl Idaho",2006,4.99
"Young Language",2006,0.99
"Youth Kick",2006,0.99
"Zhivago Core",2006,0.99
"Zoolander Fiction",2006,2.99
"Zorro Ark",2006,4.99
